step,plausibility,faithfulness,lext_score,reward
163,0.4250,0.4000,0.4121,-0.0879
164,0.5000,0.5333,0.5161,0.0161
165,0.5000,0.5667,0.5312,0.0312
166,0.6500,0.6667,0.6582,0.1582
167,0.4250,0.4000,0.4121,-0.0879
168,0.8000,0.7333,0.7652,0.2652
170,0.7250,0.6000,0.6566,0.1566
171,0.4250,0.6000,0.4976,-0.0024
172,0.4250,0.5667,0.4857,-0.0143
173,0.8000,0.5667,0.6634,0.1634
174,0.5750,0.6000,0.5872,0.0872
176,0.2500,0.2333,0.2414,-0.2586
177,0.4250,0.5333,0.4730,-0.0270
178,0.8000,0.5667,0.6634,0.1634
179,0.5000,0.5667,0.5312,0.0312
180,0.2500,0.2333,0.2414,-0.2586
181,0.8000,0.6667,0.7273,0.2273
182,0.8000,0.7333,0.7652,0.2652
183,0.8000,0.5667,0.6634,0.1634
184,0.8000,0.5667,0.6634,0.1634
185,0.6500,0.5333,0.5859,0.0859
187,0.6250,0.5333,0.5755,0.0755
188,0.2250,0.4667,0.3036,-0.1964
189,0.3750,0.4667,0.4158,-0.0842
190,0.4250,0.5333,0.4730,-0.0270
191,0.8000,0.6667,0.7273,0.2273
192,0.8000,0.6000,0.6857,0.1857
193,0.4250,0.4000,0.4121,-0.0879
194,0.2500,0.4667,0.3256,-0.1744
195,0.0750,0.1000,0.0857,-0.4143
197,0.2500,0.5000,0.3333,-0.1667
198,0.5500,0.4333,0.4847,-0.0153
199,0.5500,0.6333,0.5887,0.0887
200,0.8000,0.7333,0.7652,0.2652
201,0.8000,0.6667,0.7273,0.2273
203,0.4500,0.5333,0.4881,-0.0119
204,0.8250,0.7333,0.7765,0.2765
205,0.2500,0.4667,0.3256,-0.1744
206,0.2500,0.4667,0.3256,-0.1744
207,0.8000,0.5667,0.6634,0.1634
208,0.5500,0.4333,0.4847,-0.0153
209,0.2500,0.4667,0.3256,-0.1744
210,0.5500,0.6333,0.5887,0.0887
211,0.8000,0.6667,0.7273,0.2273
212,0.7250,0.5333,0.6146,0.1146
213,0.4250,0.5333,0.4730,-0.0270
214,0.2500,0.4000,0.3077,-0.1923
215,0.8500,0.7333,0.7874,0.2874
216,0.4250,0.6000,0.4976,-0.0024
217,0.6500,0.5333,0.5859,0.0859
218,0.6500,0.5333,0.5859,0.0859
219,0.2500,0.4667,0.3256,-0.1744
220,0.2500,0.3667,0.2973,-0.2027
221,0.2250,0.4667,0.3036,-0.1964
223,0.8000,0.7333,0.7652,0.2652
225,0.5500,0.6000,0.5739,0.0739
226,0.5500,0.6333,0.5887,0.0887
227,0.8000,0.7333,0.7652,0.2652
229,0.5000,0.5667,0.5312,0.0312
230,0.6250,0.5333,0.5755,0.0755
231,0.4250,0.4000,0.4121,-0.0879
232,0.5500,0.4333,0.4847,-0.0153
233,0.2250,0.4667,0.3036,-0.1964
234,0.7500,0.7333,0.7416,0.2416
236,0.5500,0.4333,0.4847,-0.0153
237,0.2000,0.1667,0.1818,-0.3182
239,0.5500,0.6333,0.5887,0.0887
240,0.8000,0.6667,0.7273,0.2273
241,0.4250,0.5333,0.4730,-0.0270
243,0.4250,0.5333,0.4730,-0.0270
245,0.4250,0.3667,0.3937,-0.1063
246,0.0750,0.0000,0.0000,-0.5000
248,0.8500,0.5333,0.6554,0.1554
249,0.3500,0.5000,0.4118,-0.0882
250,0.7250,0.6667,0.6946,0.1946
251,0.8000,0.5667,0.6634,0.1634
252,0.5500,0.6667,0.6027,0.1027
253,0.2500,0.5000,0.3333,-0.1667
254,0.1250,0.0000,0.0000,-0.5000
256,0.5000,0.5667,0.5312,0.0312
257,0.0750,0.3667,0.1245,-0.3755
258,0.5500,0.6333,0.5887,0.0887
259,0.5500,0.4333,0.4847,-0.0153
260,0.4250,0.4000,0.4121,-0.0879
261,0.6500,0.5000,0.5652,0.0652
262,0.2500,0.4667,0.3256,-0.1744
263,0.8500,0.7333,0.7874,0.2874
264,0.2500,0.2667,0.2581,-0.2419
265,0.8500,0.8000,0.8242,0.3242
266,0.7250,0.7333,0.7291,0.2291
268,0.4250,0.5333,0.4730,-0.0270
270,0.8000,0.7667,0.7830,0.2830
271,0.2500,0.4667,0.3256,-0.1744
272,0.4250,0.4000,0.4121,-0.0879
273,0.5750,0.6000,0.5872,0.0872
274,0.5000,0.6333,0.5588,0.0588
275,0.0000,0.0000,0.0000,-0.5000
276,0.6750,0.5667,0.6161,0.1161
277,0.5750,0.6000,0.5872,0.0872
278,0.6250,0.5333,0.5755,0.0755
279,0.4250,0.5333,0.4730,-0.0270
280,0.8000,0.6667,0.7273,0.2273
282,0.8000,0.5667,0.6634,0.1634
283,0.8000,0.7333,0.7652,0.2652
284,0.4250,0.5333,0.4730,-0.0270
286,0.4250,0.5333,0.4730,-0.0270
287,0.1500,0.4667,0.2270,-0.2730
288,0.6750,0.7000,0.6873,0.1873
289,0.4250,0.6000,0.4976,-0.0024
290,0.5500,0.4333,0.4847,-0.0153
292,0.1000,0.2333,0.1400,-0.3600
294,0.6500,0.7000,0.6741,0.1741
295,0.0000,0.0000,0.0000,-0.5000
296,0.4000,0.5667,0.4690,-0.0310
297,0.8000,0.7333,0.7652,0.2652
298,0.8500,0.7333,0.7874,0.2874
299,0.8000,0.7333,0.7652,0.2652
300,0.8000,0.6667,0.7273,0.2273
301,0.4250,0.6000,0.4976,-0.0024
302,0.5500,0.6667,0.6027,0.1027
303,0.7000,0.6000,0.6462,0.1462
304,0.8000,0.7333,0.7652,0.2652
305,0.7500,0.7333,0.7416,0.2416
306,0.6250,0.7333,0.6748,0.1748
307,0.8000,0.7333,0.7652,0.2652
308,0.8000,0.7333,0.7652,0.2652
310,0.6500,0.6667,0.6582,0.1582
311,0.3500,0.5000,0.4118,-0.0882
312,0.4250,0.5333,0.4730,-0.0270
313,0.6500,0.5333,0.5859,0.0859
314,0.7500,0.8000,0.7742,0.2742
315,0.1500,0.3333,0.2069,-0.2931
316,0.4250,0.4000,0.4121,-0.0879
317,0.4750,0.6000,0.5302,0.0302
318,0.7250,0.7667,0.7453,0.2453
319,0.8000,0.6667,0.7273,0.2273
320,0.4250,0.5333,0.4730,-0.0270
321,0.4250,0.5333,0.4730,-0.0270
323,0.7500,0.7333,0.7416,0.2416
324,0.6500,0.5333,0.5859,0.0859
325,0.8000,0.6667,0.7273,0.2273
326,0.8000,0.8000,0.8000,0.3000
328,0.6000,0.5667,0.5829,0.0829
329,0.4250,0.5000,0.4595,-0.0405
330,0.7250,0.6667,0.6946,0.1946
331,0.8000,0.6667,0.7273,0.2273
332,0.8000,0.6667,0.7273,0.2273
333,0.8000,0.7333,0.7652,0.2652
334,0.6500,0.5333,0.5859,0.0859
335,0.4250,0.6000,0.4976,-0.0024
336,0.5500,0.4000,0.4632,-0.0368
337,0.5500,0.6333,0.5887,0.0887
338,0.8500,0.8000,0.8242,0.3242
339,0.7500,0.8333,0.7895,0.2895
341,0.2250,0.4667,0.3036,-0.1964
342,0.4250,0.5333,0.4730,-0.0270
344,0.3750,0.4667,0.4158,-0.0842
346,0.8000,0.7333,0.7652,0.2652
347,0.7500,0.8000,0.7742,0.2742
348,0.7000,0.6000,0.6462,0.1462
349,0.8000,0.6000,0.6857,0.1857
350,0.4250,0.6000,0.4976,-0.0024
351,0.7500,0.7333,0.7416,0.2416
353,0.8000,0.7333,0.7652,0.2652
354,0.8000,0.8000,0.8000,0.3000
356,0.2250,0.4667,0.3036,-0.1964
357,0.0750,0.4000,0.1263,-0.3737
358,0.4250,0.6000,0.4976,-0.0024
359,0.3750,0.4667,0.4158,-0.0842
360,0.6500,0.5333,0.5859,0.0859
361,0.6500,0.5333,0.5859,0.0859
362,0.7500,0.8000,0.7742,0.2742
363,0.5000,0.5667,0.5312,0.0312
364,0.3750,0.5333,0.4404,-0.0596
365,0.6750,0.8000,0.7322,0.2322
366,0.8000,0.6667,0.7273,0.2273
367,0.7500,0.5667,0.6456,0.1456
368,0.2500,0.4667,0.3256,-0.1744
370,0.7500,0.5667,0.6456,0.1456
371,0.8000,0.7667,0.7830,0.2830
372,0.5000,0.5667,0.5312,0.0312
373,0.0000,0.0000,0.0000,-0.5000
374,0.2500,0.4667,0.3256,-0.1744
375,0.8000,0.7333,0.7652,0.2652
376,0.7500,0.7000,0.7241,0.2241
377,0.8000,0.7333,0.7652,0.2652
378,0.8000,0.8000,0.8000,0.3000
379,0.5500,0.6333,0.5887,0.0887
380,0.0750,0.2333,0.1135,-0.3865
381,0.6500,0.5333,0.5859,0.0859
382,0.0750,0.5667,0.1325,-0.3675
383,0.3750,0.4667,0.4158,-0.0842
386,0.3500,0.5000,0.4118,-0.0882
387,0.6500,0.5333,0.5859,0.0859
388,0.7500,0.5667,0.6456,0.1456
389,0.6500,0.5333,0.5859,0.0859
390,0.1000,0.4000,0.1600,-0.3400
391,0.3750,0.4667,0.4158,-0.0842
392,0.4250,0.5333,0.4730,-0.0270
393,0.4250,0.4000,0.4121,-0.0879
394,0.0750,0.1000,0.0857,-0.4143
395,0.2000,0.1667,0.1818,-0.3182
396,0.8000,0.7333,0.7652,0.2652
397,0.6500,0.5333,0.5859,0.0859
398,0.2250,0.4333,0.2962,-0.2038
399,0.6500,0.5333,0.5859,0.0859
400,0.7500,0.5000,0.6000,0.1000
401,0.7500,0.7333,0.7416,0.2416
402,0.7500,0.5667,0.6456,0.1456
403,0.8000,0.6667,0.7273,0.2273
404,0.4750,0.6000,0.5302,0.0302
405,0.4250,0.5667,0.4857,-0.0143
406,0.0000,0.0000,0.0000,-0.5000
408,0.8000,0.7333,0.7652,0.2652
409,0.5500,0.6667,0.6027,0.1027
410,0.8000,0.7333,0.7652,0.2652
411,0.7000,0.6000,0.6462,0.1462
412,0.1500,0.4667,0.2270,-0.2730
413,0.4250,0.6000,0.4976,-0.0024
414,0.3750,0.3333,0.3529,-0.1471
415,0.5000,0.5667,0.5312,0.0312
417,0.0000,0.0000,0.0000,-0.5000
418,0.2500,0.4667,0.3256,-0.1744
419,0.5750,0.6000,0.5872,0.0872
421,0.4250,0.5333,0.4730,-0.0270
422,0.2000,0.1667,0.1818,-0.3182
423,0.7500,0.8000,0.7742,0.2742
424,0.7500,0.6000,0.6667,0.1667
425,0.3750,0.4667,0.4158,-0.0842
426,0.8500,0.8000,0.8242,0.3242
427,0.7500,0.7333,0.7416,0.2416
428,0.5500,0.4333,0.4847,-0.0153
429,0.0750,0.4333,0.1279,-0.3721
430,0.7500,0.7333,0.7416,0.2416
431,0.8000,0.5667,0.6634,0.1634
432,0.3000,0.4000,0.3429,-0.1571
433,0.7500,0.8000,0.7742,0.2742
434,0.0750,0.1000,0.0857,-0.4143
435,0.4250,0.4000,0.4121,-0.0879
436,0.7500,0.5667,0.6456,0.1456
437,0.6500,0.5333,0.5859,0.0859
438,0.8000,0.6667,0.7273,0.2273
439,0.8000,0.6667,0.7273,0.2273
440,0.2250,0.4667,0.3036,-0.1964
441,0.3750,0.3333,0.3529,-0.1471
442,0.5500,0.6333,0.5887,0.0887
443,0.7500,0.5667,0.6456,0.1456
444,0.6500,0.5333,0.5859,0.0859
445,0.2250,0.4667,0.3036,-0.1964
446,0.2500,0.4667,0.3256,-0.1744
447,0.2500,0.5000,0.3333,-0.1667
448,0.0750,0.2333,0.1135,-0.3865
449,0.5500,0.4000,0.4632,-0.0368
450,0.7000,0.7333,0.7163,0.2163
451,0.6500,0.6667,0.6582,0.1582
452,0.1500,0.3333,0.2069,-0.2931
453,0.8000,0.6667,0.7273,0.2273
454,0.0000,0.0000,0.0000,-0.5000
455,0.2250,0.4667,0.3036,-0.1964
456,0.0000,0.0000,0.0000,-0.5000
457,0.8000,0.5667,0.6634,0.1634
458,0.6500,0.5333,0.5859,0.0859
459,0.0750,0.0667,0.0706,-0.4294
460,0.5000,0.6333,0.5588,0.0588
461,0.8000,0.7333,0.7652,0.2652
462,0.1750,0.3000,0.2211,-0.2789
463,0.4250,0.4000,0.4121,-0.0879
464,0.8000,0.7333,0.7652,0.2652
465,0.2500,0.4667,0.3256,-0.1744
466,0.8000,0.8000,0.8000,0.3000
467,0.1250,0.0667,0.0870,-0.4130
468,0.3750,0.4667,0.4158,-0.0842
469,0.7500,0.7333,0.7416,0.2416
470,0.8000,0.7333,0.7652,0.2652
471,0.7500,0.8000,0.7742,0.2742
472,0.8000,0.8000,0.8000,0.3000
473,0.8000,0.7333,0.7652,0.2652
474,0.8500,0.7333,0.7874,0.2874
475,0.6500,0.5000,0.5652,0.0652
476,0.4250,0.5333,0.4730,-0.0270
477,0.6500,0.5000,0.5652,0.0652
479,0.5000,0.5667,0.5312,0.0312
480,0.5750,0.6333,0.6028,0.1028
481,0.1250,0.3667,0.1864,-0.3136
482,0.8000,0.7333,0.7652,0.2652
483,0.6500,0.5333,0.5859,0.0859
484,0.8000,0.8333,0.8163,0.3163
485,0.8000,0.7333,0.7652,0.2652
486,0.6500,0.5333,0.5859,0.0859
487,0.5750,0.4000,0.4718,-0.0282
488,0.8000,0.6667,0.7273,0.2273
489,0.3000,0.5333,0.3840,-0.1160
490,0.2250,0.4667,0.3036,-0.1964
491,0.6500,0.5333,0.5859,0.0859
492,0.8000,0.7333,0.7652,0.2652
493,0.8000,0.6667,0.7273,0.2273
494,0.8000,0.7667,0.7830,0.2830
495,0.6500,0.5333,0.5859,0.0859
496,0.6500,0.5333,0.5859,0.0859
497,0.7000,0.7000,0.7000,0.2000
498,0.3750,0.4667,0.4158,-0.0842
499,0.0750,0.2333,0.1135,-0.3865
